id,est_gender,est_age
1,male,52
2,female,48
3,male,52
4,male,57
5,male,37
6,male,57
7,male,40
8,male,54
9,male,46
10,male,46
11,female,65
12,female,28
13,male,71
14,male,34
16,female,47
18,female,43
19,male,58
20,male,43
21,female,34
22,male,47
23,male,52
25,male,38
26,male,36
27,male,63
28,male,44
29,male,34
30,male,36
31,male,58
32,male,42
33,male,43
34,male,66
35,male,71
36,male,45
37,male,39
38,male,48
39,male,44
40,male,41
41,male,52
42,male,61
43,male,43
44,male,40
45,female,8
46,female,20
47,male,59
48,male,37
49,male,32
50,male,37
51,male,53
53,female,31
54,male,39
55,female,31
56,male,49
57,male,70
58,male,56
59,male,41
60,female,43
61,male,38
62,male,41
63,male,33
64,female,39
65,male,37
66,male,55
67,male,42
68,male,42
69,male,52
70,male,59
71,male,47
72,male,42
73,male,44
74,male,41
75,male,44
76,female,49
77,female,30
78,male,40
79,male,39
80,male,55
81,female,43
82,male,47
83,male,68
84,male,54
85,male,55
86,female,43
87,male,33
89,male,36
90,male,48
91,female,40
92,male,52
93,male,67
94,male,69
96,male,35
97,male,38
98,male,53
99,female,33
101,female,38
102,male,70
103,female,36
104,male,47
105,male,45
108,male,34
109,female,34
110,female,32
112,male,52
113,male,51
114,male,40
115,female,38
117,female,32
118,male,31
119,male,42
121,male,52
122,male,53
123,male,63
125,male,40
126,female,37
127,female,40
128,male,57
129,male,35
130,male,65
131,male,23
139,male,37
140,male,49
141,male,57
142,male,45
143,female,33
144,male,29
145,female,48
146,male,47
147,male,57
148,male,36
149,female,43
151,male,50
152,female,38
153,male,26
154,male,31
155,male,40
156,male,33
157,female,43
158,male,35
159,male,29
161,female,37
162,male,61
163,male,58
164,male,57
165,male,35
167,male,53
168,male,37
169,male,35
170,male,42
171,female,42
172,male,37
174,male,61
175,male,49
176,male,64
177,male,57
178,female,44
179,male,31
181,male,46
182,female,46
183,male,34
184,male,55
185,female,35
186,female,23
187,male,47
188,male,28
189,male,63
190,male,36
191,male,51
192,male,48
193,male,54
194,male,71
195,male,53
196,male,41
197,male,46
198,male,41
199,male,38
200,male,60
201,female,38
202,male,22
203,male,60
204,female,45
205,male,40
206,male,49
207,female,41
208,male,65
209,male,45
210,female,42
211,male,45
212,female,43
213,male,62
214,male,53
215,male,53
216,male,61
217,female,44
218,female,25
219,male,68
220,male,31
221,male,42
222,female,37
223,male,34
224,male,52
225,male,33
227,male,58
228,male,57
229,female,48
230,male,38
231,male,71
232,male,46
233,male,38
234,female,50
235,male,31
236,male,42
237,male,51
239,male,62
241,male,42
243,male,53
245,male,28
247,male,53
248,female,40
249,male,33
250,female,34
