id,photo_url,thumb_url
1,https://pe.tedcdn.com/images/ted/93b12c098c0aa57e9bf54d2ce8b95a0e3701de9c_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/a2194b4ef5170bd9e9b086c5053e09cdf3545960_2880x1620.jpg?quality=89&w=600
2,https://pe.tedcdn.com/images/ted/1527_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1451_480x360.jpg?quality=89&w=600
3,https://pe.tedcdn.com/images/ted/1441_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f0244673707e0d53f813d494600e7a5bad023725_1600x1200.jpg?quality=89&w=600
4,https://pe.tedcdn.com/images/ted/1439_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1b5cb72c2fa3e58e4c268e9e37eba833b43689bb_1600x1200.jpg?quality=89&w=600
5,https://pe.tedcdn.com/images/ted/0a81b5a6be38419602d715ce81dc2dc4e99c5291_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/d4721fba-341c-4a94-98d7-5ccc36074768/ChrisBangle_2002-embed.jpg?quality=89&w=600
6,https://pe.tedcdn.com/images/ted/1438_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/b1dc8f513ec37e1f531213b65257804816111ac0_1600x1200.jpg?quality=89&w=600
7,https://pe.tedcdn.com/images/ted/1437_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/ec8cb05b010ea5c373e085b4349e30723ae4aff0_1600x1200.jpg?quality=89&w=600
8,https://pe.tedcdn.com/images/ted/581324210212221474b1646bed6dda79a3086fde_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/10775_480x360.jpg?quality=89&w=600
9,https://pe.tedcdn.com/images/ted/1486_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/492_480x360.jpg?quality=89&w=600
10,https://pe.tedcdn.com/images/ted/57583_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/671d08b846a625bc2fdee1b6e3c7326bd9c3c48c_1600x1200.jpg?quality=89&w=600
11,https://pe.tedcdn.com/images/ted/1433_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/6a8a27b4553f4e39d96139e5199f5bf8a354b410_2880x1620.jpg?quality=89&w=600
12,https://pe.tedcdn.com/images/ted/857138c8562f97307725a26167a0c2687d92e5c3_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/3690d9eb-a3eb-451a-940a-e851db9a3cb6/EvaVertes_2005-embed.jpg?quality=89&w=600
13,https://pe.tedcdn.com/images/ted/0ad8bed9ba586dac016b8d9c33af0ccba5e2f22d_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1f9f0f7abf107dd7fb496fee39325cbefe6f66a9_2880x1620.jpg?quality=89&w=600
14,https://pe.tedcdn.com/images/ted/1431_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/cf42ee3e183408cbbd6aaa5e824e605251ad91dc_2880x1620.jpg?quality=89&w=600
