id,est_gender,est_age
24,,0
138,,0
169,male,35
179,male,31
186,female,23
265,,0
290,male,38
364,male,31
478,male,40
541,male,45
581,,0
631,male,32
672,male,19
720,male,51
722,female,23
729,male,37
733,male,54
737,female,17
745,male,36
746,male,45
747,male,40
756,female,41
775,male,50
784,male,49
795,male,33
798,male,58
806,female,48
816,male,34
832,male,27
840,male,53
857,male,61
870,female,22
923,male,44
931,female,36
943,male,55
953,male,51
982,male,33
1038,male,53
1156,male,31
1157,male,56
1225,male,34
1254,,0
1358,female,31
1464,,0
1677,male,45
2147,male,29
2273,male,15
2366,female,29
2386,female,28
2684,,0
2710,,0
2717,,0
2897,male,36
2899,male,31
2900,,0
2902,male,33
2903,male,33
2905,male,38
2906,male,30
2907,female,27
2908,,0
2911,,0
2913,,0
2914,male,30
2915,,0
2916,,0
2917,,0
2918,male,69
2919,,0
2920,male,45
2921,male,18
2927,male,28
2928,male,27
2930,male,37
2931,,0
2933,female,35
2934,female,53
2935,male,42
2936,female,27
2937,male,33
2938,female,35
2939,male,39
2940,male,44
2941,,0
2942,female,34
2943,male,33
2944,male,45
2945,female,43
2946,male,32
2947,male,34
2948,male,19
2949,,0
2950,female,21
2951,male,23
2952,,0
2953,female,21
2954,male,25
2955,male,19
2956,female,18
2957,male,32
2958,,0
2959,male,18
2960,female,19
2961,female,23
2962,female,32
2963,male,36
2964,male,55
2965,female,32
2966,female,16
2968,female,19
2969,female,19
2970,male,32
2971,female,23
2972,male,19
2973,female,46
2974,male,34
2975,male,42
2976,male,45
2977,male,44
2978,,0
2979,male,39
2981,male,27
2982,male,58
2983,female,31
2984,,0
2985,,0
2986,female,20
2987,female,27
2988,,0
2989,male,38
2990,,0
2991,,0
2992,,0
2993,,0
2994,male,36
2995,,0
2996,female,35
2997,,0
2998,female,26
2999,male,62
3000,,0
3001,,0
3002,female,25
3003,male,54
3004,male,59
3005,,0
3006,,0
3007,male,58
3008,male,46
3009,,0
3010,,0
3011,,0
3014,female,15
3015,female,25
3016,male,9
3017,female,21
3018,female,26
3019,female,9
3020,female,21
3021,female,22
3022,male,16
3023,female,18
3024,male,22
3025,male,21
3026,male,28
3027,male,56
3028,,0
3029,female,33
3030,,0
3031,female,33
3032,male,40
3033,,0
3034,female,26
3035,female,32
3036,male,39
3037,male,38
3038,male,31
3039,male,31
3040,male,28
3041,male,49
3042,male,36
3045,female,23
3046,,0
3047,,0
3048,female,23
3049,male,34
3050,male,32
3051,female,34
3052,male,40
3053,male,30
3054,,0
3055,male,36
3056,female,45
3057,female,11
3058,male,33
3061,female,29
3063,,0
3064,male,59
3075,male,52
3076,male,37
3077,male,37
3081,male,31
3082,male,33
3084,male,31
3086,male,28
3088,female,33
3089,male,32
3090,female,40
3091,female,57
3092,male,43
3093,,0
3094,male,37
3095,male,44
3096,male,33
3097,male,36
3098,female,28
3099,male,41
3100,male,36
3101,female,46
3104,male,58
3105,male,21
3106,female,44
3107,female,44
3108,male,35
3109,male,24
3110,male,43
3111,male,27
3112,female,35
3116,male,33
3117,male,26
3118,male,31
3119,male,23
3120,female,50
3121,,0
3122,,0
3123,female,38
3124,male,52
3126,male,17
3129,male,28
3130,female,40
3131,,0
3132,,0
3133,,0
3134,,0
3135,,0
3137,female,23
3138,female,23
3139,,0
3140,,0
3141,,0
3142,male,20
3143,female,44
3144,,0
3145,male,35
3146,female,43
3147,female,29
3148,male,54
3149,female,25
3150,female,52
3152,male,41
3153,male,34
3154,male,24
3155,female,31
3156,male,27
3157,male,33
3158,female,26
3160,female,19
3161,male,48
3162,,0
3163,male,46
3164,female,40
3165,male,52
3166,male,36
3167,female,54
3168,,0
3170,,0
3171,female,41
3172,female,35
3173,female,35
3174,male,24
3176,,0
3177,male,37
3178,,0
3179,male,36
3180,,0
3181,male,31
3182,female,32
3183,female,30
3184,,0
3185,male,24
3186,female,48
3187,female,31
3188,female,39
3190,female,33
3191,male,28
3192,male,41
3193,male,33
3194,male,20
3195,male,39
3196,male,23
3197,male,32
3198,female,29
3199,female,22
3200,female,25
3201,male,28
3202,,0
3203,male,40
3204,,0
3205,female,39
3206,female,12
3207,male,40
3208,male,35
3209,female,19
3210,male,31
3211,female,31
3212,male,47
3213,female,37
3214,,0
3217,female,34
3218,male,46
3220,,0
3221,female,34
3222,female,18
3223,female,40
3224,male,34
3225,male,48
3226,male,49
3227,female,24
3228,female,25
3229,female,27
3230,female,43
3232,male,40
3233,male,45
3234,female,24
3235,male,36
3236,female,32
3237,male,41
3238,male,43
3239,male,20
3240,female,23
3241,male,32
3242,female,26
3243,male,22
3244,,0
3245,male,26
3246,,0
3247,male,35
3248,female,20
3249,,0
3250,,0
3251,female,25
3252,,0
3253,,0
3254,male,37
3255,,0
3256,male,24
3259,female,28
3260,male,26
3261,male,42
3262,female,20
3263,,0
3264,male,39
3267,female,30
3268,male,27
3270,male,44
3271,male,49
3272,male,45
3273,female,37
3274,male,55
3275,male,28
3276,female,26
3277,female,32
3278,female,39
3279,,0
3280,male,24
3281,male,55
3282,male,48
3283,,0
3284,,0
3285,male,19
3286,male,41
3287,male,33
3288,female,46
3289,male,36
3290,,0
3291,male,31
3292,,0
3293,,0
3294,,0
3295,,0
3296,,0
3297,female,26
3298,male,47
3299,female,46
3300,,0
3301,male,25
3302,male,32
3303,female,38
3304,,0
3305,female,38
3306,male,40
3307,female,47
3308,male,48
3309,,0
3310,female,21
3311,female,29
3312,male,67
3313,female,31
3314,male,38
3315,female,19
3316,male,38
3317,female,26
3318,female,23
3319,female,21
3320,male,28
3321,male,21
3323,,0
3324,male,22
3326,female,33
3327,male,60
3329,female,23
3330,,0
3332,female,30
3333,male,40
3334,female,39
3335,male,44
3336,female,27
3337,female,23
3338,male,50
3339,female,33
3340,,0
3341,female,39
3343,,0
3344,male,62
3345,male,32
3346,female,25
3347,male,36
3348,,0
3349,male,50
3350,male,24
3351,male,38
3352,female,33
3353,female,31
3354,,0
3356,female,17
3357,,0
3358,female,23
3359,male,24
3360,male,22
3361,female,29
3368,male,33
3371,male,43
3372,male,44
3373,male,35
3374,male,42
3375,male,23
3376,female,30
3377,male,41
3378,,0
3379,male,31
3380,female,27
3382,female,56
3383,female,26
3384,male,32
3385,female,31
3386,male,33
3387,male,32
3388,female,33
3389,male,57
3390,female,26
3392,,0
3393,female,69
3394,male,38
3395,male,60
3396,,0
3397,female,31
3398,female,32
3399,male,34
3400,male,32
3401,male,35
3402,male,37
3403,male,40
3404,male,36
3405,male,56
3406,female,10
3407,female,29
3408,male,47
3409,male,45
3410,male,42
3411,female,47
3412,male,43
3413,male,23
3414,,0
3415,female,43
3416,male,34
3417,male,23
3418,male,34
3419,male,48
3420,,0
3421,,0
3422,female,27
3423,male,42
3424,female,21
3425,male,39
3426,female,25
3427,female,26
3428,male,55
3429,,0
3430,male,32
3431,male,36
3432,,0
3433,male,43
3434,male,54
3435,female,51
3436,male,38
3437,male,41
3438,male,38
3439,male,28
3440,female,32
3441,male,32
3442,male,39
3443,male,49
3444,male,58
3445,male,63
3446,male,19
3447,male,22
3448,male,52
3449,male,23
3450,,0
3451,female,25
3452,,0
3453,female,26
3454,male,31
3455,male,31
3456,,0
3457,male,34
3458,female,25
3459,female,25
3460,male,34
